naics6,bea_io,bea_desc,match_prefix,match_len
111110,111CA,Farms,11111,5
111120,111CA,Farms,11112,5
111130,111CA,Farms,11113,5
111140,111CA,Farms,11114,5
111150,111CA,Farms,11115,5
111160,111CA,Farms,11116,5
111199,111CA,Farms,11119,5
111211,111CA,Farms,1112,4
111219,111CA,Farms,1112,4
111310,111CA,Farms,1113,4
111320,111CA,Farms,1113,4
111331,111CA,Farms,1113,4
111332,111CA,Farms,1113,4
111333,111CA,Farms,1113,4
111334,111CA,Farms,1113,4
111335,111CA,Farms,1113,4
111339,111CA,Farms,1113,4
111411,111CA,Farms,1114,4
111419,111CA,Farms,1114,4
111421,111CA,Farms,1114,4
111422,111CA,Farms,1114,4
111910,111CA,Farms,1119,4
111920,111CA,Farms,1119,4
111930,111CA,Farms,1119,4
111940,111CA,Farms,1119,4
111991,111CA,Farms,1119,4
111992,111CA,Farms,1119,4
111998,111CA,Farms,1119,4
11211X,111CA,Farms,11211,5
112210,111CA,Farms,1122,4
1123XX,111CA,Farms,1123,4
112410,111CA,Farms,1124,4
112420,111CA,Farms,1124,4
112511,111CA,Farms,1125,4
112512,111CA,Farms,1125,4
112910,111CA,Farms,1129,4
112920,111CA,Farms,1129,4
112930,111CA,Farms,1129,4
112990,111CA,Farms,1129,4
113210,113FF,"Forestry, fishing, and related activities",113,3
113310,113FF,"Forestry, fishing, and related activities",113,3
114111,113FF,"Forestry, fishing, and related activities",114,3
114112,113FF,"Forestry, fishing, and related activities",114,3
114119,113FF,"Forestry, fishing, and related activities",114,3
115114,113FF,"Forestry, fishing, and related activities",115,3
115210,113FF,"Forestry, fishing, and related activities",115,3
211120,211,Oil and gas extraction,211,3
211130,211,Oil and gas extraction,211,3
212111,212,"Mining, except oil and gas",2121,4
212112,212,"Mining, except oil and gas",2121,4
212113,212,"Mining, except oil and gas",2121,4
212114,212,"Mining, except oil and gas",2121,4
212115,212,"Mining, except oil and gas",2121,4
212210,212,"Mining, except oil and gas",21221,5
212220,212,"Mining, except oil and gas",21222,5
212221,212,"Mining, except oil and gas",21222,5
212222,212,"Mining, except oil and gas",21222,5
212230,212,"Mining, except oil and gas",21223,5
212290,212,"Mining, except oil and gas",21229,5
212291,212,"Mining, except oil and gas",21229,5
212299,212,"Mining, except oil and gas",21229,5
212311,212,"Mining, except oil and gas",21231,5
212312,212,"Mining, except oil and gas",21231,5
212319,212,"Mining, except oil and gas",21231,5
212321,212,"Mining, except oil and gas",21232,5
212322,212,"Mining, except oil and gas",21232,5
212323,212,"Mining, except oil and gas",21232,5
212324,212,"Mining, except oil and gas",21232,5
212325,212,"Mining, except oil and gas",21232,5
212390,212,"Mining, except oil and gas",21239,5
212391,212,"Mining, except oil and gas",21239,5
212392,212,"Mining, except oil and gas",21239,5
212393,212,"Mining, except oil and gas",21239,5
212399,212,"Mining, except oil and gas",21239,5
311111,311FT,Food and beverage and tobacco products,311111,6
311119,311FT,Food and beverage and tobacco products,311119,6
311211,311FT,Food and beverage and tobacco products,31121,5
311212,311FT,Food and beverage and tobacco products,31121,5
311213,311FT,Food and beverage and tobacco products,31121,5
311221,311FT,Food and beverage and tobacco products,311221,6
311224,311FT,Food and beverage and tobacco products,311224,6
311225,311FT,Food and beverage and tobacco products,311225,6
311230,311FT,Food and beverage and tobacco products,31123,5
31131X,311FT,Food and beverage and tobacco products,3113,4
311340,311FT,Food and beverage and tobacco products,3113,4
31135X,311FT,Food and beverage and tobacco products,3113,4
311411,311FT,Food and beverage and tobacco products,31141,5
311412,311FT,Food and beverage and tobacco products,31141,5
311421,311FT,Food and beverage and tobacco products,31142,5
311422,311FT,Food and beverage and tobacco products,31142,5
311423,311FT,Food and beverage and tobacco products,31142,5
311511,311FT,Food and beverage and tobacco products,311511,6
311512,311FT,Food and beverage and tobacco products,311512,6
311513,311FT,Food and beverage and tobacco products,311513,6
311514,311FT,Food and beverage and tobacco products,311514,6
311520,311FT,Food and beverage and tobacco products,31152,5
311611,311FT,Food and beverage and tobacco products,311611,6
311612,311FT,Food and beverage and tobacco products,311612,6
311613,311FT,Food and beverage and tobacco products,311613,6
311615,311FT,Food and beverage and tobacco products,311615,6
311710,311FT,Food and beverage and tobacco products,3117,4
31181X,311FT,Food and beverage and tobacco products,31181,5
311824,311FT,Food and beverage and tobacco products,31182,5
311911,311FT,Food and beverage and tobacco products,31191,5
311919,311FT,Food and beverage and tobacco products,31191,5
311920,311FT,Food and beverage and tobacco products,31192,5
311930,311FT,Food and beverage and tobacco products,31193,5
